name
Львовская ул.
Лысогорская ул.
ул. Лысенко
Лыбедская ул.
ул. Луценка Дмитрия (Крейсера Аврора)
ул. Анатолия Луначарского
ул. Патриса Лумумбы
Лукьяновская ул.
ул. Николая Лукашевича
9-я Луговая ул.
8-я Луговая ул.
7-я Луговая ул.
6-я Луговая ул.
5-я Луговая ул.
4-я Луговая ул.
3-я Луговая ул.
2-я Луговая ул.
1-я Луговая ул.
14-я Луговая ул.
13-я Луговая ул.
12-я Луговая ул.
11-я Луговая ул.
10-я Луговая ул.
ул. Луговая( Оболонь
ул. Луговая( Жуляны
ул. Луговая( Бортничи
Луганская ул.
Лубенская ул.
Лохвицкая ул.
ул. Ломоносова
ул. Локомотивная
ул. Лодыгина
ул. Лобачевского
Литинская ул.
ул. Литвиненко-Вольгемут
Лисянская ул.
ул. Листопадная
Лисковская ул.
Лисичанская ул.
Липская ул.
ул. Липовая
ул. Василия Липкивского (Урицкого)
9-я Линия ул.
8-я Линия ул.
7-я Линия ул.
6-я Линия ул.
5-я Линия ул.
4-я Линия ул.
3-я Линия ул.
2-я Линия ул.
1-я Линия ул.
14-я Линия ул.
13-я Линия ул.
12-я Линия ул.
11-я Линия ул.
10-я Линия ул.
ул. Линейная
Ливарская ул.
ул. Летняя
ул. Лесорубная
ул. Довнар-Запольского
ул. Довженко( Шулявка
ул. Довженко( Троещина село
ул. Олексы Довбуша
ул. Генерала Доватора
Добрынинская ул.
ул. Добрый Шлях
Добружская ул.
ул. Академика Доброхотова
Добрососедская ул.
ул. Добролюбова
Днестровская ул.
Днепропетровская ул.
Днепродзержинская ул.
ул. Днепроводская
ул. Днепровая
Дмитриевская ул.( Центр
Дмитриевская ул.( Куреневка
ул. Димитрова( Центр
ул. Димитрова( Троещина село
ул. Дибровная
ул. Дзержинского
ул. Джерельна
ул. Мусы Джалиля
ул. Десятинная
ул. Десятинная( Троещина село
Деснянская ул.( Караваевы Дачи
ул. Деревообрабатывающая
Депутатская ул.
Демиевская ул.
Демидовская ул.
ул. Декабристов
ул. Дежнева
ул. Дегтярная
ул. Петра Дегтяренка
Дегтяревская ул.
ул. Девятого Мая
Двинская ул.
Дашавская ул.
Дачно-Белицкая ул.
ул. Дачная
ул. Дарвина
ул. Константина Данькевича
Петровская ул.
ул. Анатолия Петрицкого
ул. Симона Петлюры (Коминтерна)( Центр
ул. Симона Петлюры (Коминтерна)
ул. Павла Пестеля
ул. Перспективная
ул. Софьи Перовской
Переяславская ул.( Бортничи
Переяславская ул.( Билецкий Массив
ул. Передовая
ул. Леонида Первомайского
Пейзажная аллея
ул. Паустовского
ул. Патриотов
ул. Паторжинского
мост Патона
ул. Паровозная
ул. Парниковая
ул. Парковая
Паньковская ул.
ул. Петра Панча
ул. Панфиловцев
ул. Анатолия Пантелькина
ул. Панорамная
ул. Панельная
Павлоградская ул.
Павловская ул.
ул. Павленко
Очаковская ул.
Охотская ул.
ул. Отечественная
ул. Отдыха
ул. Николая Островского( Соломенка
ул. Николая Островского( Бортничи
ул. Островная
Остерская ул.
Осокорская ул.
Оскольская ул.
ул. Осиповского
ул. Осенняя
Орская ул.
ул. Оросительная
Орловская ул.
ул. Пилипа Орлика
Организаторская ул.
ул. Орбитная
ул. Оранжерейная
ул. Григория Онискевича
Ольшанская ул.
ул. Ольховая
ул. Ольжича
Ольгинская ул.
ул. Степана Олейника
Олеговская ул.
Олевская ул.
Октябрьская ул.( Катериновка
Октябрьская ул.( Беличи
ул. Раисы Окипной
7-я  Озерная ул.
4-я  Озерная ул.
3-я  Озерная ул.
2-я  Озерная ул.
1-я  Озерная ул.
ул. Озерная( Оболонь
ул. Озерная( Бортничи
ул. Озерная( Александровская Слободка
ул. Одоевского
Одесская ул.
ул. Огуречная
ул. Огарева
Овручская ул.
Обуховская ул.
ул. Обсерваторная
ул. Оборонная
Оболонская ул.
Новоукраинская ул.
Новоселицкая ул.
Новороссийская ул.
ул. Новополевая
Новопироговская ул.
Новомостицкая ул.
Новомичуринская ул.
Новомакарьевская ул.
Новокорчеватская ул.
Новоконстантиновская ул.
Новозабарская ул.
Новодарницкая ул.
ул. Нововокзальная
ул. Новикова-Прибоя
